Unresolved,URL,Minimum,Maximum,Recommendations-URL
ESD-206803,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206803,1.0,1.0,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-204071%2C%20ESD-202127%2C%20ESD-202135%2C%20ESD-202132)
ESD-206746,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206746,0.47,0.57,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-142833%2C%20ESD-142801%2C%20ESD-202660%2C%20ESD-162696)
ESD-206741,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206741,0.33,0.38,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-160687%2C%20ESD-194078%2C%20ESD-142578%2C%20ESD-142722)
ESD-206710,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206710,0.32,0.48,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-163755%2C%20ESD-189921%2C%20ESD-182429%2C%20ESD-144482)
ESD-206638,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206638,0.73,0.78,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-197757%2C%20ESD-196158%2C%20ESD-202389%2C%20ESD-202685)
ESD-206600,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206600,0.82,0.86,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198086%2C%20ESD-202685%2C%20ESD-201580%2C%20ESD-202306)
ESD-206531,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206531,0.75,0.77,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-149403%2C%20ESD-170266%2C%20ESD-173475%2C%20ESD-188573)
ESD-206482,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206482,0.4,0.55,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-168099%2C%20ESD-203975%2C%20ESD-194727%2C%20ESD-191486)
ESD-206456,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206456,0.28,0.49,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-161679%2C%20ESD-159581%2C%20ESD-169013%2C%20ESD-150488)
ESD-206455,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206455,0.35,0.51,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-159581%2C%20ESD-169013%2C%20ESD-149085%2C%20ESD-161679)
ESD-206305,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206305,0.37,0.46,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-194663%2C%20ESD-193063%2C%20ESD-160352%2C%20ESD-162863)
ESD-206263,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206263,0.29,0.3,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-181037%2C%20ESD-203946%2C%20ESD-197946%2C%20ESD-172618)
ESD-206176,https://support.efima.com/jira/issues/?jql=issuekey=ESD-206176,0.48,0.57,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-197130%2C%20ESD-186190%2C%20ESD-199026%2C%20ESD-148671)
ESD-205801,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205801,0.32,0.35,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-191367%2C%20ESD-201187%2C%20ESD-149456%2C%20ESD-198994)
ESD-205799,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205799,0.47,0.58,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-189237%2C%20ESD-172240%2C%20ESD-190604%2C%20ESD-162495)
ESD-205779,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205779,0.76,0.77,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-186939%2C%20ESD-164863%2C%20ESD-163538%2C%20ESD-182750)
ESD-205570,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205570,0.32,0.33,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-159404%2C%20ESD-150726%2C%20ESD-147712%2C%20ESD-161186)
ESD-205239,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205239,0.29,0.42,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201177%2C%20ESD-198449%2C%20ESD-198456%2C%20ESD-202581)
ESD-205220,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205220,0.7,0.75,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201580%2C%20ESD-202389%2C%20ESD-197757%2C%20ESD-198086)
ESD-205184,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205184,0.23,0.33,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-195088%2C%20ESD-197549%2C%20ESD-193971%2C%20ESD-190847)
ESD-205121,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205121,0.66,0.73,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201290%2C%20ESD-197757%2C%20ESD-184192%2C%20ESD-198051)
ESD-205116,https://support.efima.com/jira/issues/?jql=issuekey=ESD-205116,0.44,0.47,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-186074%2C%20ESD-195376%2C%20ESD-144497%2C%20ESD-191063)
ESD-204881,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204881,0.42,0.45,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-143110%2C%20ESD-160690%2C%20ESD-160855%2C%20ESD-160433)
ESD-204752,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204752,0.25,0.31,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-173445%2C%20ESD-191329%2C%20ESD-194947%2C%20ESD-159473)
ESD-204588,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204588,0.26,0.3,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198783%2C%20ESD-166441%2C%20ESD-150726%2C%20ESD-150640)
ESD-204560,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204560,0.25,0.29,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-154512%2C%20ESD-194520%2C%20ESD-158580%2C%20ESD-180970)
ESD-204501,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204501,0.43,0.52,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-186201%2C%20ESD-201726%2C%20ESD-171435%2C%20ESD-171149)
ESD-204480,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204480,0.27,0.28,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-186949%2C%20ESD-197342%2C%20ESD-182161%2C%20ESD-164981)
ESD-204076,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204076,0.7,0.74,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201580%2C%20ESD-197757%2C%20ESD-198086%2C%20ESD-202389)
ESD-203664,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203664,0.76,0.78,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-184192%2C%20ESD-197757%2C%20ESD-196158%2C%20ESD-201290)
ESD-203659,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203659,0.58,0.63,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-163760%2C%20ESD-163238%2C%20ESD-195081%2C%20ESD-150418)
ESD-203637,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203637,0.33,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-161722%2C%20ESD-159185%2C%20ESD-168689%2C%20ESD-144601)
ESD-203530,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203530,0.22,0.28,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-193755%2C%20ESD-149085%2C%20ESD-150635%2C%20ESD-161593)
ESD-203405,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203405,0.35,0.58,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201905%2C%20ESD-169164%2C%20ESD-194639%2C%20ESD-172284)
ESD-203086,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203086,0.27,0.64,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-164500%2C%20ESD-160870%2C%20ESD-178893%2C%20ESD-202658)
ESD-203066,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203066,0.25,0.74,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-203023%2C%20ESD-157645%2C%20ESD-147775%2C%20ESD-180998)
ESD-202299,https://support.efima.com/jira/issues/?jql=issuekey=ESD-202299,0.6,0.63,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-157710%2C%20ESD-195673%2C%20ESD-163760%2C%20ESD-195081)
ESD-201267,https://support.efima.com/jira/issues/?jql=issuekey=ESD-201267,0.29,0.34,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-195116%2C%20ESD-172456%2C%20ESD-186400%2C%20ESD-188203)
ESD-201178,https://support.efima.com/jira/issues/?jql=issuekey=ESD-201178,0.31,0.4,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-197763%2C%20ESD-185884%2C%20ESD-182429%2C%20ESD-188502)
ESD-200524,https://support.efima.com/jira/issues/?jql=issuekey=ESD-200524,0.22,0.27,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-147505%2C%20ESD-195119%2C%20ESD-182972%2C%20ESD-144601)
ESD-200089,https://support.efima.com/jira/issues/?jql=issuekey=ESD-200089,0.3,0.33,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198417%2C%20ESD-144881%2C%20ESD-181403%2C%20ESD-144961)
ESD-198759,https://support.efima.com/jira/issues/?jql=issuekey=ESD-198759,0.29,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-160263%2C%20ESD-182159%2C%20ESD-169366%2C%20ESD-186829)
ESD-198450,https://support.efima.com/jira/issues/?jql=issuekey=ESD-198450,0.3,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-147719%2C%20ESD-147706%2C%20ESD-181319%2C%20ESD-145597)
ESD-197765,https://support.efima.com/jira/issues/?jql=issuekey=ESD-197765,0.33,0.35,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-178907%2C%20ESD-142608%2C%20ESD-169660%2C%20ESD-182430)
ESD-197504,https://support.efima.com/jira/issues/?jql=issuekey=ESD-197504,0.19,0.22,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-162429%2C%20ESD-160695%2C%20ESD-148569%2C%20ESD-156340)
ESD-195269,https://support.efima.com/jira/issues/?jql=issuekey=ESD-195269,0.24,0.32,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198048%2C%20ESD-156267%2C%20ESD-187313%2C%20ESD-198781)
ESD-195116,https://support.efima.com/jira/issues/?jql=issuekey=ESD-195116,0.41,1.0,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-195116%2C%20ESD-150640%2C%20ESD-186297%2C%20ESD-186400)
ESD-191373,https://support.efima.com/jira/issues/?jql=issuekey=ESD-191373,0.26,0.39,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-194541%2C%20ESD-198539%2C%20ESD-166441%2C%20ESD-203975)
ESD-188376,https://support.efima.com/jira/issues/?jql=issuekey=ESD-188376,0.38,0.47,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-148486%2C%20ESD-190847%2C%20ESD-193754%2C%20ESD-190605)
